epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.78868,2.89877,4.51257,4.3275,0.00245,0.33942,0.00233,0.0004,3.55118,3.75326,4.1636,0.000361301,0.000361301,0.000361301
2,12.3479,2.81914,4.28514,4.14226,0.00276,0.38526,0.00489,0.0007,3.58278,3.62679,4.1209,0.000724391,0.000724391,0.000724391
3,16.6998,2.57315,4.14288,3.93403,0.00267,0.38526,0.00579,0.00077,3.6601,3.53194,4.01001,0.00108015,0.00108015,0.00108015
4,20.8529,2.271,3.98497,3.78035,0.00136,0.15513,0.00378,0.00078,3.70622,3.76331,4.23106,0.001078,0.001078,0.001078
5,25.1679,2.07957,3.81151,3.48768,0.04797,0.15353,0.03063,0.01234,2.38788,22.7357,3.88336,0.001067,0.001067,0.001067
6,29.4571,2.15411,3.7032,3.35525,0.02977,0.49199,0.05386,0.01828,2.00243,30.2071,4.14454,0.00105601,0.00105601,0.00105601
7,33.6039,1.9643,3.5966,3.14059,0.02671,0.29199,0.02354,0.00776,2.31972,270.281,5.46387,0.00104501,0.00104501,0.00104501
8,38.009,2.05233,3.50311,3.0379,0.09226,0.04583,0.02171,0.00677,2.23859,125.715,3.66424,0.00103401,0.00103401,0.00103401
9,42.4708,2.02412,3.50442,2.97063,0.01364,0.17853,0.03357,0.01031,2.28918,78.8643,3.49099,0.00102301,0.00102301,0.00102301
10,46.8408,1.96818,3.33995,2.84127,0.65662,0.25962,0.19906,0.06992,2.08583,7.81647,2.8388,0.00101201,0.00101201,0.00101201
11,51.1765,1.95995,3.24195,2.8022,0.55851,0.23333,0.2711,0.1095,2.0731,2.80871,2.73478,0.00100101,0.00100101,0.00100101
12,55.5751,1.88079,3.17363,2.73038,0.07853,0.29263,0.08643,0.02225,2.10062,5.22745,2.87484,0.000990012,0.000990012,0.000990012
13,60.0242,1.84423,3.19543,2.71762,0.13084,0.54869,0.18936,0.0565,2.1187,2.90886,2.71733,0.000979013,0.000979013,0.000979013
14,64.3003,1.81396,3.1104,2.6409,0.05609,0.10769,0.14433,0.0495,1.98134,2.71326,2.65197,0.000968014,0.000968014,0.000968014
15,68.7854,1.84292,2.95491,2.63851,0.38449,0.41731,0.24027,0.09874,1.85607,2.47226,2.54952,0.000957015,0.000957015,0.000957015
16,73.3309,1.78461,2.95464,2.63884,0.10586,0.60128,0.15936,0.05287,1.96911,2.91821,2.62192,0.000946016,0.000946016,0.000946016
17,77.8492,1.73686,2.85526,2.56205,0.14835,0.3409,0.16755,0.06856,1.9083,2.7449,2.56832,0.000935018,0.000935018,0.000935018
18,82.2157,1.81643,2.8108,2.63489,0.19028,0.52147,0.22334,0.10258,1.84327,2.70186,2.5188,0.000924019,0.000924019,0.000924019
19,86.8009,1.73506,2.84097,2.56387,0.19894,0.60224,0.24995,0.10013,1.90374,2.54011,2.5153,0.00091302,0.00091302,0.00091302
20,91.1559,1.73134,2.75124,2.5406,0.18068,0.27436,0.1687,0.06237,1.91299,2.76516,2.55199,0.000902021,0.000902021,0.000902021
21,95.5617,1.66848,2.72256,2.45376,0.23219,0.59619,0.25827,0.13965,1.80551,2.53957,2.44133,0.000891022,0.000891022,0.000891022
22,100.109,1.6401,2.66474,2.40654,0.22639,0.28631,0.25178,0.14792,1.77291,2.53205,2.49125,0.000880023,0.000880023,0.000880023
23,104.478,1.69494,2.58329,2.462,0.29646,0.32297,0.32663,0.15617,1.92123,2.41528,2.59378,0.000869024,0.000869024,0.000869024
24,108.818,1.66263,2.55287,2.47649,0.19842,0.33727,0.25783,0.13115,1.82996,2.53717,2.4449,0.000858025,0.000858025,0.000858025
25,113.249,1.6243,2.50399,2.44001,0.31568,0.36378,0.34796,0.18116,1.75669,2.4029,2.38004,0.000847026,0.000847026,0.000847026
26,117.716,1.58926,2.47333,2.40107,0.23264,0.50786,0.31029,0.1462,1.81457,2.24615,2.48221,0.000836027,0.000836027,0.000836027
27,122.06,1.50942,2.38578,2.33655,0.23309,0.5109,0.28456,0.13137,1.87583,2.35852,2.44824,0.000825029,0.000825029,0.000825029
28,126.356,1.51343,2.40504,2.31165,0.24621,0.55275,0.27883,0.13865,1.69708,2.14512,2.27869,0.00081403,0.00081403,0.00081403
29,130.695,1.49641,2.31449,2.28536,0.26114,0.59455,0.34923,0.17973,1.63517,2.07929,2.26698,0.000803031,0.000803031,0.000803031
30,134.999,1.52297,2.26732,2.3109,0.23445,0.46383,0.37166,0.2006,1.69515,2.07282,2.3167,0.000792032,0.000792032,0.000792032
31,139.485,1.45489,2.25679,2.25849,0.19092,0.59777,0.27881,0.15364,1.64995,2.16194,2.25136,0.000781033,0.000781033,0.000781033
32,144.071,1.43219,2.25436,2.245,0.16461,0.48526,0.26822,0.14497,1.54345,2.37343,2.20463,0.000770034,0.000770034,0.000770034
33,148.366,1.47458,2.25255,2.27634,0.31638,0.35192,0.31425,0.16915,1.65453,2.27692,2.24412,0.000759035,0.000759035,0.000759035
